bondLen1,bondLen2,bondAng,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,intgErr,sampNum
2.12344099,2.09107937,1.68948055,-1.04742927,1.3E-07,-0.20334023,-0.23683091,-0.42842309,4.2E-07,1.19E-06,0.03003843,-0.14893893,-4.13E-06,-0.35654608,-0.3900695,-1.72E-06,4.26E-06,0.59952255,-0.4055405,1.94471831,-5.66E-06,-1.741E-05,-0.0423644,0.38096709,-6.29E-06,1.45E-06,3.26482881,0.79433494,3.64E-06,51
1.90802189,1.64397809,1.9115422,-1.24348739,2.65E-06,-0.18833765,-0.20755682,-0.36075534,-2.64E-06,1.244E-05,0.04584243,-0.27380143,-2.853E-05,-0.21142878,-0.27462888,-2.258E-05,-2.472E-05,0.64083391,-0.1847294,1.79190741,3.556E-05,-5.04E-05,-0.42561008,0.79812796,0.00011069,-8.69E-06,1.8928261,1.41443997,7.86E-06,52
1.5731866,2.08295575,1.95302108,-1.21183378,-2.66E-06,-0.10655154,-0.23120476,-0.38020035,-1.464E-05,1.63E-06,0.15988568,-0.2582595,2.4E-05,-0.15778018,-0.31200013,-4.81E-05,7.1E-07,0.69753224,-0.15336648,1.77336159,8.38E-05,1.27E-05,-0.15910062,0.98408412,-0.00010694,-2.063E-05,1.47798806,1.62350374,1.39E-05,53
1.58607988,2.11253586,1.67750225,-1.15271918,1.37E-06,-0.17009003,-0.22881721,-0.4343662,6.62E-06,4.33E-06,0.02907855,-0.16486184,-2.811E-05,-0.28415234,-0.39648912,8.24E-06,2.657E-05,0.463984,-0.4057461,1.7808477,-0.00013569,-0.00010672,0.1323464,0.34819918,-6.073E-05,9.137E-05,2.9613793,0.70226395,1.05E-05,54
2.16878599,1.73105684,2.12586126,-1.20449578,2.34E-06,-0.11156757,-0.21416256,-0.33340856,-1.46E-06,1.089E-05,0.19031582,-0.27745735,-2.728E-05,-0.18364284,-0.19643213,-2.45E-05,-1.811E-05,0.69056173,0.02662705,1.81979731,2.705E-05,-4.836E-05,-0.86420806,1.12238837,5.763E-05,-2.76E-05,0.7214669,1.19678614,1.1E-05,55
2.12371969,2.13433208,1.74811362,-1.04133495,-2E-08,-0.19317494,-0.2280138,-0.42974492,1.7E-07,-8.2E-07,0.02916195,-0.18586656,5.62E-06,-0.32455847,-0.39193468,3.22E-06,-3.59E-06,0.68223989,-0.3933563,1.94753481,1.413E-05,3.218E-05,-0.09433626,0.52142704,3.347E-05,-6.11E-06,3.02588014,1.11809217,3.64E-06,56
1.76951408,1.64019167,2.09966539,-1.30607495,1.28E-06,-0.14301005,-0.19664773,-0.31649964,3.38E-06,6.18E-06,0.12881657,-0.29814552,4.82E-06,-0.11641225,-0.20599531,-3.014E-05,1.768E-05,0.58756636,-0.00806108,1.6891205,-1.728E-05,6.17E-05,-0.70330851,1.06512429,2.195E-05,-9.048E-05,0.73959035,1.13662112,5.89E-06,57
2.08866546,1.69468349,2.14746387,-1.24117668,-8.1E-07,-0.12976505,-0.20597678,-0.31210025,-3.7E-07,3E-06,0.16255377,-0.28906868,-2.797E-05,-0.14854641,-0.18555727,-2.647E-05,7.51E-06,0.6340854,0.03189665,1.79257514,1.041E-05,-0.00022916,-0.91660805,1.12942832,-6.21E-05,-0.00014687,0.63982461,1.0473644,6.74E-06,58
1.96249394,1.75670504,2.09956856,-1.2561845,-5.1E-07,-0.14463401,-0.22293918,-0.30270149,9.5E-07,-5.66E-06,0.1398823,-0.27995063,1.273E-05,-0.13726517,-0.20327417,2.912E-05,-7.46E-06,0.62988471,-0.00526821,1.81359586,-4.89E-06,6.857E-05,-0.7642013,1.1333699,2.703E-05,0.00010821,0.8041343,1.24289821,6.04E-06,59
1.64521572,1.74853597,1.60358425,-1.22641301,8.4E-07,-0.20450079,-0.23670867,-0.41292979,3.56E-06,2.54E-06,0.02920997,-0.12685997,-1.424E-05,-0.32055046,-0.33481808,5.22E-06,1.045E-05,0.35692972,-0.3259907,1.7331886,-6.568E-05,-4.244E-05,0.05059767,0.17634369,1.401E-05,5.413E-05,3.08665426,0.21875235,1.52E-06,60
